stable_id,source_id,source_name,title,official_url,published_at,freshness_status,change_type,committee
FEED-S-009-a4befd5f26064411,S-009,臺中市議會議事資訊系統－各項提案,建請市政府編列預算，調增「警察局」第六分局工業區派出所人員勤務編制員額案。,https://yishi.tccc.gov.tw/proposals/0f9eb253-c7e8-4a08-beb9-6dcfca651e71,,FRESH,CONFIRMED,
FEED-S-009-b6ba9a8e1ef830b0,S-009,臺中市議會議事資訊系統－各項提案,建議市政府編列「警察局」婦幼志工文康福利預算案。,https://yishi.tccc.gov.tw/proposals/35c1f073-0f4d-4793-93ab-6251a03fe268,,FRESH,CONFIRMED,
FEED-S-009-d055f92dcd0281c0,S-009,臺中市議會議事資訊系統－各項提案,內政部114年度全額補助本局辦理「114年度毒品防制基金業務計畫-毒品熱區翻轉執,https://yishi.tccc.gov.tw/proposals/a20e7920-6b73-40f8-a822-eb0b5b5c82d1,,FRESH,CONFIRMED,
FEED-S-009-54db23fda0940329,S-009,臺中市議會議事資訊系統－各項提案,內政部全額補助114本市少年輔導委員會辦理「毒品防制基金業務計畫」，少年毒品防制,https://yishi.tccc.gov.tw/proposals/0432f596-d2fc-440f-9496-d03c50efe860,,FRESH,CONFIRMED,
FEED-S-009-55750d82f4860416,S-009,臺中市議會議事資訊系統－各項提案,里草湖都市計劃「機一用地」興建臺中市政府「警察局」霧峰警分局或交通大隊霧峰分隊辦,https://yishi.tccc.gov.tw/proposals/a2f50b78-ee5c-4524-a1cf-e4dfd1c0ee9c,,FRESH,CONFIRMED,
FEED-S-009-cefaf55d5502a4b1,S-009,臺中市議會議事資訊系統－各項提案,整合臺中市龍井地政事務所、龍井區衛生所、「警察局」烏日分局龍井分駐所、龍井親子館,https://yishi.tccc.gov.tw/proposals/9b574c69-838b-4d25-87ec-f75a246a3913,,FRESH,CONFIRMED,
FEED-S-009-eb6c43362706c2ee,S-009,臺中市議會議事資訊系統－各項提案,建請市政府「警察局」研議針對和平分局梨山分駐所支給員工地域加,https://yishi.tccc.gov.tw/proposals/6259cb7e-9822-4877-9610-e7eb0f9ceb99,,FRESH,CONFIRMED,
FEED-S-009-d1abd297d324493e,S-009,臺中市議會議事資訊系統－各項提案,建請「警察局」推動添置止血帶配備作業，提升第一線值勤員,https://yishi.tccc.gov.tw/proposals/27e3d20f-7dad-4343-888a-a27434ff49a5,,FRESH,CONFIRMED,
FEED-S-009-7adf835b91d7c75b,S-009,臺中市議會議事資訊系統－各項提案,建請「警察局」編列經費，充實義警、民防人員的服裝購置案,https://yishi.tccc.gov.tw/proposals/8c5bdcf2-73e5-4ac4-a2f1-04e349a22d12,,FRESH,CONFIRMED,
FEED-S-009-ce76b16352b0ba37,S-009,臺中市議會議事資訊系統－各項提案,內政部警政署114年度補助本局辦理「前瞻基礎建設－城鄉建設－公共服務據點整備－公,https://yishi.tccc.gov.tw/proposals/4ba78b79-f4f9-4748-8cd3-8c44efc5ae83,,FRESH,CONFIRMED,
